2024-09-24 06:39:01.574 CDT [9428] LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.001 s, total=0.108 s; sync files=1, longest=0.001 s, average=0.001 s; distance=5 kB, estimate=183 kB; lsn=0/A3F8A58, redo lsn=0/A3F8A20
2024-09-24 06:44:01.575 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 06:44:03.305 CDT [9428] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.710 s, sync=0.012 s, total=1.731 s; sync files=27, longest=0.001 s, average=0.001 s; distance=160 kB, estimate=180 kB; lsn=0/A420BF8, redo lsn=0/A420BC0
2024-09-24 06:54:01.315 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 06:54:03.951 CDT [9428] LOG:  checkpoint complete: wrote 27 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.615 s, sync=0.013 s, total=2.637 s; sync files=26, longest=0.002 s, average=0.001 s; distance=231 kB, estimate=231 kB; lsn=0/A45A990, redo lsn=0/A45A958
2024-09-24 07:04:01.953 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 07:04:03.680 CDT [9428] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.709 s, sync=0.010 s, total=1.727 s; sync files=26, longest=0.002 s, average=0.001 s; distance=155 kB, estimate=223 kB; lsn=0/A4816C0, redo lsn=0/A481688
2024-09-24 07:14:01.682 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 07:14:03.408 CDT [9428] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.706 s, sync=0.010 s, total=1.726 s; sync files=26, longest=0.001 s, average=0.001 s; distance=158 kB, estimate=217 kB; lsn=0/A4A9280, redo lsn=0/A4A9248
2024-09-24 07:24:01.410 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 07:24:03.150 CDT [9428] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.716 s, sync=0.015 s, total=1.741 s; sync files=26, longest=0.003 s, average=0.001 s; distance=152 kB, estimate=210 kB; lsn=0/A4CF3A0, redo lsn=0/A4CF368
2024-09-24 07:34:01.152 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 07:34:02.780 CDT [9428] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.612 s, sync=0.010 s, total=1.629 s; sync files=26, longest=0.001 s, average=0.001 s; distance=149 kB, estimate=204 kB; lsn=0/A4F4838, redo lsn=0/A4F4800
2024-09-24 07:44:01.781 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 07:44:03.610 CDT [9428] LOG:  checkpoint complete: wrote 19 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.812 s, sync=0.009 s, total=1.829 s; sync files=26, longest=0.001 s, average=0.001 s; distance=154 kB, estimate=199 kB; lsn=0/A51B3B0, redo lsn=0/A51B378
2024-09-24 07:54:01.612 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 07:54:04.255 CDT [9428] LOG:  checkpoint complete: wrote 27 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.616 s, sync=0.017 s, total=2.643 s; sync files=26, longest=0.003 s, average=0.001 s; distance=209 kB, estimate=209 kB; lsn=0/A54F850, redo lsn=0/A54F818
2024-09-24 08:04:01.256 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 08:04:03.284 CDT [9428] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.011 s, sync=0.011 s, total=2.028 s; sync files=27, longest=0.002 s, average=0.001 s; distance=171 kB, estimate=205 kB; lsn=0/A57A770, redo lsn=0/A57A738
2024-09-24 08:14:01.286 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 08:14:03.316 CDT [9428] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.010 s, sync=0.011 s, total=2.031 s; sync files=27, longest=0.002 s, average=0.001 s; distance=150 kB, estimate=199 kB; lsn=0/A5A0040, redo lsn=0/A59FFF0
2024-09-24 08:24:01.329 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 08:24:03.260 CDT [9428] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.910 s, sync=0.012 s, total=1.932 s; sync files=26, longest=0.001 s, average=0.001 s; distance=161 kB, estimate=196 kB; lsn=0/A5C8690, redo lsn=0/A5C8658
2024-09-24 08:34:01.263 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 08:34:03.702 CDT [9428] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.419 s, sync=0.013 s, total=2.439 s; sync files=30, longest=0.002 s, average=0.001 s; distance=210 kB, estimate=210 kB; lsn=0/A5FD228, redo lsn=0/A5FD1F0
2024-09-24 08:44:01.705 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 08:44:03.434 CDT [9428] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.710 s, sync=0.010 s, total=1.729 s; sync files=26, longest=0.001 s, average=0.001 s; distance=147 kB, estimate=204 kB; lsn=0/A621F98, redo lsn=0/A621F60
2024-09-24 08:54:01.436 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 08:54:04.278 CDT [9428] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.815 s, sync=0.017 s, total=2.843 s; sync files=26, longest=0.002 s, average=0.001 s; distance=229 kB, estimate=229 kB; lsn=0/A65B440, redo lsn=0/A65B408
2024-09-24 09:04:01.293 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:04:02.916 CDT [9428] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.603 s, sync=0.009 s, total=1.623 s; sync files=25, longest=0.001 s, average=0.001 s; distance=152 kB, estimate=221 kB; lsn=0/A681498, redo lsn=0/A681460
2024-09-24 09:14:01.917 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:14:03.541 CDT [9428] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.609 s, sync=0.009 s, total=1.625 s; sync files=25, longest=0.001 s, average=0.001 s; distance=151 kB, estimate=214 kB; lsn=0/A6A7428, redo lsn=0/A6A73F0
2024-09-24 09:24:01.543 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:24:03.278 CDT [9428] LOG:  checkpoint complete: wrote 19 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.712 s, sync=0.013 s, total=1.736 s; sync files=26, longest=0.002 s, average=0.001 s; distance=161 kB, estimate=209 kB; lsn=0/A6CFB60, redo lsn=0/A6CFB28
2024-09-24 09:34:01.280 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:34:03.306 CDT [9428] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.010 s, sync=0.010 s, total=2.027 s; sync files=27, longest=0.001 s, average=0.001 s; distance=170 kB, estimate=205 kB; lsn=0/A6FA678, redo lsn=0/A6FA640
2024-09-24 09:44:01.308 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:44:03.153 CDT [9428] LOG:  checkpoint complete: wrote 19 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.819 s, sync=0.015 s, total=1.846 s; sync files=27, longest=0.002 s, average=0.001 s; distance=145 kB, estimate=199 kB; lsn=0/A71EB28, redo lsn=0/A71EAF0
2024-09-24 09:54:01.155 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:54:04.435 CDT [9428] LOG:  checkpoint complete: wrote 32 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.132 s, sync=0.097 s, total=3.280 s; sync files=26, longest=0.013 s, average=0.004 s; distance=237 kB, estimate=237 kB; lsn=0/A759FE8, redo lsn=0/A759FB0
2024-09-24 09:54:53.357 CDT [22680] ERROR:  syntax error at or near "max" at character 119
2024-09-24 09:54:53.357 CDT [22680] STATEMENT:  
	create table dbo.error_log (id bigint generated always as identity, name varchar(255) not null, description varchar(max), insertedat timestamp)
	
	create trigger update_insertedat_timestamp before
	insert
	    on
	    dbo.error_log for each row execute function update_insertedat_timestamp()
	
2024-09-24 09:55:06.523 CDT [22680] ERROR:  syntax error at or near "create" at character 151
2024-09-24 09:55:06.523 CDT [22680] STATEMENT:  
	create table dbo.error_log (id bigint generated always as identity, name varchar(255) not null, description varchar(1000), insertedat timestamp)
	
	create trigger update_insertedat_timestamp before
	insert
	    on
	    dbo.error_log for each row execute function update_insertedat_timestamp()
	
2024-09-24 09:55:17.344 CDT [22680] ERROR:  table "error_log" does not exist
2024-09-24 09:55:17.344 CDT [22680] STATEMENT:  drop table dbo.error_log
2024-09-24 09:59:01.437 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 09:59:04.630 CDT [9428] LOG:  checkpoint complete: wrote 32 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.118 s, sync=0.064 s, total=3.193 s; sync files=29, longest=0.004 s, average=0.003 s; distance=138 kB, estimate=227 kB; lsn=0/A77CB30, redo lsn=0/A77CAF8
2024-09-24 10:09:01.633 CDT [9428] LOG:  checkpoint starting: time
2024-09-24 10:09:02.181 CDT [9428] LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.514 s, sync=0.014 s, total=0.549 s; sync files=5, longest=0.003 s, average=0.003 s; distance=7 kB, estimate=205 kB; lsn=0/A77E730, redo lsn=0/A77E6F8
2024-09-24 10:54:01.188 CDT [9428] LOG:  checkpoint starting: time
